source_id,rule_key,rule_object,constraint_type,subject,operator,value,unit,condition,exception,evidence_text,warnings,source_stream,batch_id,rule_id,applies_to,applies_to_objects,scope_count,scope_mode,merged_rule_ids,merged_rule_count,dedup_status,review_reasons,review_required,merged_rule_id,approval_type,rule_object_original
page_0002__table_001,permitted_dwelling_units_ssmu_1_2,dwelling_units,permitted_range,Small-Scale Multi-Unit,range,1-2,units,including secondary suites,,Permitted Dwelling Units (including secondary suites) | Small-Scale Multi-Unit | 1 to 2 Units,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0021,"[{'rule_id': 'pipeline10_rule_0021', 'rule_object': 'dwelling_units', 'condition': 'including secondary suites'}]",['dwelling_units'],1,single_scope,['pipeline10_rule_0021'],1,kept,[],False,pipeline5_merged_rule_0021,,
page_0002__table_001,permitted_dwelling_units_ssmu_3_4,dwelling_units,permitted_range,Small-Scale Multi-Unit,range,3-4,units,including secondary suites,,Permitted Dwelling Units (including secondary suites) | Small-Scale Multi-Unit | 3 to 4 Units,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0022,"[{'rule_id': 'pipeline10_rule_0022', 'rule_object': 'dwelling_units', 'condition': 'including secondary suites'}]",['dwelling_units'],1,single_scope,['pipeline10_rule_0022'],1,kept,[],False,pipeline5_merged_rule_0022,,
page_0002__table_001,permitted_dwelling_units_ssmu_5_6,dwelling_units,permitted_range,Small-Scale Multi-Unit,range,5-6,units,including secondary suites; Frequent Transit Network Area Only,,Permitted Dwelling Units (including secondary suites) | Small-Scale Multi-Unit | 5 to 6 Units Frequent Transit Network Area Only,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0023,"[{'rule_id': 'pipeline10_rule_0023', 'rule_object': 'dwelling_units', 'condition': 'including secondary suites; Frequent Transit Network Area Only'}]",['dwelling_units'],1,single_scope,['pipeline10_rule_0023'],1,kept,[],False,pipeline5_merged_rule_0023,,
page_0002__table_001,min_lot_area_ssmu_3_4,lot_area,minimum,Small-Scale Multi-Unit,>=,281,m2,3 to 4 Units; 4 Units Only,,Minimum Lot Area | Small-Scale Multi-Unit | 3 to 4 Units | 4 Units Only: 281 m²,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0024,"[{'rule_id': 'pipeline10_rule_0024', 'rule_object': 'lot_area', 'condition': '3 to 4 Units; 4 Units Only'}]",['lot_area'],1,single_scope,['pipeline10_rule_0024'],1,kept,[],False,pipeline5_merged_rule_0024,,
page_0002__table_001,min_lot_area_ssmu_5_6,lot_area,minimum,Small-Scale Multi-Unit,>=,281,m2,5 to 6 Units; Frequent Transit Network Area Only,,Minimum Lot Area | Small-Scale Multi-Unit | 5 to 6 Units Frequent Transit Network Area Only | 281 m²,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0025,"[{'rule_id': 'pipeline10_rule_0025', 'rule_object': 'lot_area', 'condition': '5 to 6 Units; Frequent Transit Network Area Only'}]",['lot_area'],1,single_scope,['pipeline10_rule_0025'],1,kept,[],False,pipeline5_merged_rule_0025,,
page_0002__table_001,max_lot_area_rowhouse,lot_area,maximum,Rowhouse,<=,280,m2,1 to 3 Units,,Maximum Lot Area .1 | Rowhouse | 1 to 3 Units | 280 m²,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0026,"[{'rule_id': 'pipeline10_rule_0026', 'rule_object': 'lot_area', 'condition': '1 to 3 Units'}]",['lot_area'],1,single_scope,['pipeline10_rule_0026'],1,kept,[],False,pipeline5_merged_rule_0026,,
page_0002__table_001,max_lot_coverage_all_buildings_rowhouse,lot_coverage,maximum,All Buildings,<=,55,%,Rowhouse; 1 to 3 Units,,Maximum Lot Coverage | All Buildings | Rowhouse | 1 to 3 Units | 55%,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0027,"[{'rule_id': 'pipeline10_rule_0027', 'rule_object': 'lot_coverage', 'condition': 'Rowhouse; 1 to 3 Units'}]",['lot_coverage'],1,single_scope,['pipeline10_rule_0027'],1,kept,[],False,pipeline5_merged_rule_0027,,
page_0002__table_001,max_lot_coverage_all_buildings_ssmu_1_2_le_567,lot_coverage,maximum,All Buildings,<=,40,%,Small-Scale Multi-Unit; 1 to 2 Units; Lots <= 567 m²,,Maximum Lot Coverage | All Buildings | Small-Scale Multi-Unit | 1 to 2 Units | Lots <= 567 m²: 40%,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0028,"[{'rule_id': 'pipeline10_rule_0028', 'rule_object': 'lot_coverage', 'condition': 'Small-Scale Multi-Unit; 1 to 2 Units; Lots <= 567 m²'}]",['lot_coverage'],1,single_scope,['pipeline10_rule_0028'],1,kept,[],False,pipeline5_merged_rule_0028,,
page_0002__table_001,max_lot_coverage_all_buildings_ssmu_1_2_gt_567,lot_coverage,maximum,All Buildings,<=,30,%,Small-Scale Multi-Unit; 1 to 2 Units; Lots > 567 m²,,Maximum Lot Coverage | All Buildings | Small-Scale Multi-Unit | 1 to 2 Units | Lots > 567 m²: 30%,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0029,"[{'rule_id': 'pipeline10_rule_0029', 'rule_object': 'lot_coverage', 'condition': 'Small-Scale Multi-Unit; 1 to 2 Units; Lots > 567 m²'}]",['lot_coverage'],1,single_scope,['pipeline10_rule_0029'],1,kept,[],False,pipeline5_merged_rule_0029,,
page_0002__table_001,max_lot_coverage_all_buildings_ssmu_3_4,lot_coverage,maximum,All Buildings,<=,40,%,Small-Scale Multi-Unit; 3 to 4 Units,,Maximum Lot Coverage | All Buildings | Small-Scale Multi-Unit | 3 to 4 Units | 40%,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0030,"[{'rule_id': 'pipeline10_rule_0030', 'rule_object': 'lot_coverage', 'condition': 'Small-Scale Multi-Unit; 3 to 4 Units'}]",['lot_coverage'],1,single_scope,['pipeline10_rule_0030'],1,kept,[],False,pipeline5_merged_rule_0030,,
page_0002__table_001,max_lot_coverage_all_buildings_ssmu_5_6,lot_coverage,maximum,All Buildings,<=,45,%,Small-Scale Multi-Unit; 5 to 6 Units Frequent Transit Network Area Only,,Maximum Lot Coverage | All Buildings | Small-Scale Multi-Unit | 5 to 6 Units Frequent Transit Network Area Only | 45%,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0031,"[{'rule_id': 'pipeline10_rule_0031', 'rule_object': 'lot_coverage', 'condition': 'Small-Scale Multi-Unit; 5 to 6 Units Frequent Transit Network Area Only'}]",['lot_coverage'],1,single_scope,['pipeline10_rule_0031'],1,kept,[],False,pipeline5_merged_rule_0031,,
page_0002__table_001,max_lot_coverage_impervious_rowhouse,lot_coverage,maximum,Impervious Surfaces,<=,70,%,Rowhouse; 1 to 3 Units,,Maximum Lot Coverage | Impervious Surfaces | Rowhouse | 1 to 3 Units | 70%,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0032,"[{'rule_id': 'pipeline10_rule_0032', 'rule_object': 'lot_coverage', 'condition': 'Rowhouse; 1 to 3 Units'}]",['lot_coverage'],1,single_scope,['pipeline10_rule_0032'],1,kept,[],False,pipeline5_merged_rule_0032,,
page_0002__table_001,max_lot_coverage_impervious_ssmu_1_2,lot_coverage,maximum,Impervious Surfaces,<=,60,%,Small-Scale Multi-Unit; 1 to 2 Units,,Maximum Lot Coverage | Impervious Surfaces | Small-Scale Multi-Unit | 1 to 2 Units | 60%,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0033,"[{'rule_id': 'pipeline10_rule_0033', 'rule_object': 'lot_coverage', 'condition': 'Small-Scale Multi-Unit; 1 to 2 Units'}]",['lot_coverage'],1,single_scope,['pipeline10_rule_0033'],1,kept,[],False,pipeline5_merged_rule_0033,,
page_0002__table_001,max_lot_coverage_impervious_ssmu_3_4,lot_coverage,maximum,Impervious Surfaces,<=,60,%,Small-Scale Multi-Unit; 3 to 4 Units,,Maximum Lot Coverage | Impervious Surfaces | Small-Scale Multi-Unit | 3 to 4 Units | 60%,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0034,"[{'rule_id': 'pipeline10_rule_0034', 'rule_object': 'lot_coverage', 'condition': 'Small-Scale Multi-Unit; 3 to 4 Units'}]",['lot_coverage'],1,single_scope,['pipeline10_rule_0034'],1,kept,[],False,pipeline5_merged_rule_0034,,
page_0002__table_001,max_lot_coverage_impervious_ssmu_5_6,lot_coverage,maximum,Impervious Surfaces,<=,70,%,Small-Scale Multi-Unit; 5 to 6 Units Frequent Transit Network Area Only,,Maximum Lot Coverage | Impervious Surfaces | Small-Scale Multi-Unit | 5 to 6 Units Frequent Transit Network Area Only | 70%,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0035,"[{'rule_id': 'pipeline10_rule_0035', 'rule_object': 'lot_coverage', 'condition': 'Small-Scale Multi-Unit; 5 to 6 Units Frequent Transit Network Area Only'}]",['lot_coverage'],1,single_scope,['pipeline10_rule_0035'],1,kept,[],False,pipeline5_merged_rule_0035,,
page_0002__table_001,max_height_front_principal_sloping,building_height,maximum,Front Principal Buildings,<=,10,m,sloping roof,,Maximum Height | Front Principal Buildings | Height | sloping roof: 10 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0036,"[{'rule_id': 'pipeline10_rule_0036', 'rule_object': 'height', 'condition': 'sloping roof'}]",['height'],1,single_scope,['pipeline10_rule_0036'],1,kept,[],False,pipeline5_merged_rule_0036,,height
page_0002__table_001,max_height_front_principal_flat,building_height,maximum,Front Principal Buildings,<=,9.5,m,flat roof,,Maximum Height | Front Principal Buildings | Height | flat roof: 9.5 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0037,"[{'rule_id': 'pipeline10_rule_0037', 'rule_object': 'height', 'condition': 'flat roof'}]",['height'],1,single_scope,['pipeline10_rule_0037'],1,kept,[],False,pipeline5_merged_rule_0037,,height
page_0002__table_001,max_storeys_front_principal_rowhouse,building_height,maximum,Front Principal Buildings,<=,3,storeys,Rowhouse; 1 to 3 Units; basement inclusive,,Maximum Height | Front Principal Buildings | Storeys (basement inclusive) | Rowhouse | 1 to 3 Units | 3 storeys,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0038,"[{'rule_id': 'pipeline10_rule_0038', 'rule_object': 'height', 'condition': 'Rowhouse; 1 to 3 Units; basement inclusive'}]",['height'],1,single_scope,['pipeline10_rule_0038'],1,kept,[],False,pipeline5_merged_rule_0038,,height
page_0002__table_001,max_storeys_front_principal_ssmu_1_2,building_height,maximum,Front Principal Buildings,<=,2.5,storeys,Small-Scale Multi-Unit; 1 to 2 Units; basement inclusive,,Maximum Height | Front Principal Buildings | Storeys (basement inclusive) | Small-Scale Multi-Unit | 1 to 2 Units | 2.5 storeys,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0039,"[{'rule_id': 'pipeline10_rule_0039', 'rule_object': 'height', 'condition': 'Small-Scale Multi-Unit; 1 to 2 Units; basement inclusive'}]",['height'],1,single_scope,['pipeline10_rule_0039'],1,kept,[],False,pipeline5_merged_rule_0039,,height
page_0002__table_001,max_storeys_front_principal_ssmu_3_plus,building_height,maximum,Front Principal Buildings,<=,3,storeys,"Small-Scale Multi-Unit; 3 to 4 Units, 5 to 6 Units Frequent Transit Network Area Only; basement inclusive",,Maximum Height | Front Principal Buildings | Storeys (basement inclusive) | Small-Scale Multi-Unit | 3 to 4 Units | 5 to 6 Units Frequent Transit Network Area Only | 3 storeys,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0040,"[{'rule_id': 'pipeline10_rule_0040', 'rule_object': 'height', 'condition': 'Small-Scale Multi-Unit; 3 to 4 Units, 5 to 6 Units Frequent Transit Network Area Only; basement inclusive'}]",['height'],1,single_scope,['pipeline10_rule_0040'],1,kept,[],False,pipeline5_merged_rule_0040,,height
page_0002__table_001,max_height_rear_principal_sloping,building_height,maximum,Rear Principal Buildings,<=,7.5,m,sloping roof,,Maximum Height | Rear Principal Buildings | Height | sloping roof: 7.5 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0041,"[{'rule_id': 'pipeline10_rule_0041', 'rule_object': 'height', 'condition': 'sloping roof'}]",['height'],1,single_scope,['pipeline10_rule_0041'],1,kept,[],False,pipeline5_merged_rule_0041,,height
page_0002__table_001,max_height_rear_principal_flat,building_height,maximum,Rear Principal Buildings,<=,7.0,m,flat roof,,Maximum Height | Rear Principal Buildings | Height | flat roof: 7.0 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0042,"[{'rule_id': 'pipeline10_rule_0042', 'rule_object': 'height', 'condition': 'flat roof'}]",['height'],1,single_scope,['pipeline10_rule_0042'],1,kept,[],False,pipeline5_merged_rule_0042,,height
page_0002__table_001,max_storeys_rear_principal,building_height,maximum,Rear Principal Buildings,<=,2,storeys,basement inclusive,,Maximum Height | Rear Principal Buildings | Storeys (basement inclusive) | 2 storeys,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0043,"[{'rule_id': 'pipeline10_rule_0043', 'rule_object': 'height', 'condition': 'basement inclusive'}]",['height'],1,single_scope,['pipeline10_rule_0043'],1,kept,[],False,pipeline5_merged_rule_0043,,height
page_0002__table_001,max_height_accessory_m,building_height,maximum,Accessory Buildings,<=,4.0,m,,,Maximum Height | Accessory Buildings | 4.0 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0044,"[{'rule_id': 'pipeline10_rule_0044', 'rule_object': 'height', 'condition': ''}]",['height'],1,single_scope,['pipeline10_rule_0044'],1,kept,[],False,pipeline5_merged_rule_0044,,height
page_0002__table_001,max_height_accessory_storeys,building_height,maximum,Accessory Buildings,<=,1,storeys,,,Maximum Height | Accessory Buildings | 1 storey,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0045,"[{'rule_id': 'pipeline10_rule_0045', 'rule_object': 'height', 'condition': ''}]",['height'],1,single_scope,['pipeline10_rule_0045'],1,kept,[],False,pipeline5_merged_rule_0045,,height
page_0002__table_001,min_setback_street_yard_rowhouse,building_setback,minimum,Street Yard,>=,3.0,m,Rowhouse; 1 to 3 Units; All Buildings,,Minimum Lot Line Setbacks for All Buildings .2 .3 | Street Yard | Rowhouse | 1 to 3 Units | 3.0 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0046,"[{'rule_id': 'pipeline10_rule_0046', 'rule_object': 'setback', 'condition': 'Rowhouse; 1 to 3 Units; All Buildings'}]",['setback'],1,single_scope,['pipeline10_rule_0046'],1,kept,[],False,pipeline5_merged_rule_0046,,setback
page_0002__table_001,min_setback_street_yard_ssmu_front,building_setback,minimum,Street Yard,>=,4.0,m,Small-Scale Multi-Unit; All Buildings; front,,Minimum Lot Line Setbacks for All Buildings .2 .3 | Street Yard | Small-Scale Multi-Unit | front: 4.0 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0047,"[{'rule_id': 'pipeline10_rule_0047', 'rule_object': 'setback', 'condition': 'Small-Scale Multi-Unit; All Buildings; front'}]",['setback'],1,single_scope,['pipeline10_rule_0047'],1,kept,[],False,pipeline5_merged_rule_0047,,setback
page_0002__table_001,min_setback_street_yard_ssmu_flanking,building_setback,minimum,Street Yard,>=,3.0,m,Small-Scale Multi-Unit; All Buildings; flanking,,Minimum Lot Line Setbacks for All Buildings .2 .3 | Street Yard | Small-Scale Multi-Unit | flanking: 3.0 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0048,"[{'rule_id': 'pipeline10_rule_0048', 'rule_object': 'setback', 'condition': 'Small-Scale Multi-Unit; All Buildings; flanking'}]",['setback'],1,single_scope,['pipeline10_rule_0048'],1,kept,[],False,pipeline5_merged_rule_0048,,setback
page_0002__table_001,min_setback_lane_yard,building_setback,minimum,Lane Yard,>=,1.5,m,All Buildings,,Minimum Lot Line Setbacks for All Buildings .2 .3 | Lane Yard | 1.5 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0049,"[{'rule_id': 'pipeline10_rule_0049', 'rule_object': 'setback', 'condition': 'All Buildings'}]",['setback'],1,single_scope,['pipeline10_rule_0049'],1,kept,[],False,pipeline5_merged_rule_0049,,setback
page_0002__table_001,min_setback_interior_rear_yard,building_setback,minimum,Interior Rear Yard,>=,3.0,m,All Buildings,1.5 m for accessory buildings,"Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Rear Yard | 3.0 m, except 1.5 m for accessory buildings",[],gemini_table_image,page_0002__table_001,pipeline10_rule_0050,"[{'rule_id': 'pipeline10_rule_0050', 'rule_object': 'setback', 'condition': 'All Buildings'}]",['setback'],1,single_scope,['pipeline10_rule_0050'],1,kept,['exception_requires_atomic_review'],True,pipeline5_merged_rule_0050,,setback
page_0002__table_001,min_setback_interior_rear_yard_accessory,building_setback,minimum,Interior Rear Yard,>=,1.5,m,accessory buildings,,"Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Rear Yard | 3.0 m, except 1.5 m for accessory buildings",[],gemini_table_image,page_0002__table_001,pipeline10_rule_0051,"[{'rule_id': 'pipeline10_rule_0051', 'rule_object': 'setback', 'condition': 'accessory buildings'}]",['setback'],1,single_scope,['pipeline10_rule_0051'],1,kept,[],False,pipeline5_merged_rule_0051,,setback
page_0002__table_001,min_setback_interior_side_yard_rowhouse,building_setback,minimum,Interior Side Yard,>=,0,m,Rowhouse; 1 to 3 Units; All Buildings,1.2 m for end unit lots,"Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Side Yard | Rowhouse | 1 to 3 Units | 0 m, except 1.2 m for end unit lots",[],gemini_table_image,page_0002__table_001,pipeline10_rule_0052,"[{'rule_id': 'pipeline10_rule_0052', 'rule_object': 'setback', 'condition': 'Rowhouse; 1 to 3 Units; All Buildings'}]",['setback'],1,single_scope,['pipeline10_rule_0052'],1,kept,['exception_requires_atomic_review'],True,pipeline5_merged_rule_0052,,setback
page_0002__table_001,min_setback_interior_side_yard_rowhouse_end_unit,building_setback,minimum,Interior Side Yard,>=,1.2,m,Rowhouse; 1 to 3 Units; All Buildings; end unit lots,,"Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Side Yard | Rowhouse | 1 to 3 Units | 0 m, except 1.2 m for end unit lots",[],gemini_table_image,page_0002__table_001,pipeline10_rule_0053,"[{'rule_id': 'pipeline10_rule_0053', 'rule_object': 'setback', 'condition': 'Rowhouse; 1 to 3 Units; All Buildings; end unit lots'}]",['setback'],1,single_scope,['pipeline10_rule_0053'],1,kept,[],False,pipeline5_merged_rule_0053,,setback
page_0002__table_001,min_setback_interior_side_yard_ssmu_1_2,building_setback,minimum,Interior Side Yard,>=,1.2,m,Small-Scale Multi-Unit; 1 to 2 Units; All Buildings,,Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Side Yard | Small-Scale Multi-Unit | 1 to 2 Units | 1.2 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0054,"[{'rule_id': 'pipeline10_rule_0054', 'rule_object': 'setback', 'condition': 'Small-Scale Multi-Unit; 1 to 2 Units; All Buildings'}]",['setback'],1,single_scope,['pipeline10_rule_0054'],1,kept,[],False,pipeline5_merged_rule_0054,,setback
page_0002__table_001,min_setback_interior_side_yard_ssmu_3_4,building_setback,minimum,Interior Side Yard,>=,1.2,m,Small-Scale Multi-Unit; 3 to 4 Units; All Buildings,,Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Side Yard | Small-Scale Multi-Unit | 3 to 4 Units | 1.2 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0055,"[{'rule_id': 'pipeline10_rule_0055', 'rule_object': 'setback', 'condition': 'Small-Scale Multi-Unit; 3 to 4 Units; All Buildings'}]",['setback'],1,single_scope,['pipeline10_rule_0055'],1,kept,[],False,pipeline5_merged_rule_0055,,setback
page_0002__table_001,min_setback_interior_side_yard_ssmu_5_6,building_setback,minimum,Interior Side Yard,>=,1.2,m,Small-Scale Multi-Unit; 5 to 6 Units Frequent Transit Network Area Only; All Buildings,,Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Side Yard | Small-Scale Multi-Unit | 5 to 6 Units Frequent Transit Network Area Only | 1.2 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0056,"[{'rule_id': 'pipeline10_rule_0056', 'rule_object': 'setback', 'condition': 'Small-Scale Multi-Unit; 5 to 6 Units Frequent Transit Network Area Only; All Buildings'}]",['setback'],1,single_scope,['pipeline10_rule_0056'],1,kept,[],False,pipeline5_merged_rule_0056,,setback
page_0002__table_001,min_separation_front_principals_ssmu_1_2,building_separation,minimum,Between Front Principals,>=,2.4,m,Small-Scale Multi-Unit; 1 to 2 Units,,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Front Principals | Small-Scale Multi-Unit | 1 to 2 Units | 2.4 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0057,"[{'rule_id': 'pipeline10_rule_0057', 'rule_object': 'building_separation', 'condition': 'Small-Scale Multi-Unit; 1 to 2 Units'}]",['building_separation'],1,single_scope,['pipeline10_rule_0057'],1,kept,[],False,pipeline5_merged_rule_0057,,
page_0002__table_001,min_separation_front_principals_ssmu_3_4,building_separation,minimum,Between Front Principals,>=,2.4,m,Small-Scale Multi-Unit; 3 to 4 Units,,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Front Principals | Small-Scale Multi-Unit | 3 to 4 Units | 2.4 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0058,"[{'rule_id': 'pipeline10_rule_0058', 'rule_object': 'building_separation', 'condition': 'Small-Scale Multi-Unit; 3 to 4 Units'}]",['building_separation'],1,single_scope,['pipeline10_rule_0058'],1,kept,[],False,pipeline5_merged_rule_0058,,
