reason,source_id,merged_rule_id,rule_object,subject,operator,value,unit,condition,evidence_text
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0100,building_setback,street_yard,>=,4.0,m,"for all buildings of small-scale multi-unit dwelling type, front",Street Yard                       3.0 m                 front: 4.0 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0101,building_setback,street_yard,>=,3.0,m,"for all buildings of small-scale multi-unit dwelling type, flanking",Street Yard                       3.0 m                 front: 4.0 m | flanking: 3.0 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0102,building_setback,lane_yard,>=,1.5,m,for all buildings of rowhouse dwelling type,Lane Yard                                              1.5 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0103,building_setback,lane_yard,>=,1.5,m,for all buildings of small-scale multi-unit dwelling type,Lane Yard                                              1.5 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0104,building_setback,interior_rear_yard,>=,3.0,m,for all buildings of rowhouse dwelling type,"Interior Rear Yard                      3.0 m, except 1.5 m for accessory buildings"
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0105,building_setback,interior_rear_yard,>=,1.5,m,for accessory buildings of rowhouse dwelling type,"Interior Rear Yard                      3.0 m, except 1.5 m for accessory buildings"
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0106,building_setback,interior_rear_yard,>=,3.0,m,for all buildings of small-scale multi-unit dwelling type,"Interior Rear Yard                      3.0 m, except 1.5 m for accessory buildings"
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0107,building_setback,interior_rear_yard,>=,1.5,m,for accessory buildings of small-scale multi-unit dwelling type,"Interior Rear Yard                      3.0 m, except 1.5 m for accessory buildings"
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0108,building_setback,interior_side_yard,>=,0,m,for rowhouse dwelling type,"Interior Side Yard           0 m, except 1.2 m"
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0109,building_setback,interior_side_yard,>=,1.2,m,"for rowhouse dwelling type, for end unit lots","Interior Side Yard           0 m, except 1.2 m"
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0110,building_setback,interior_side_yard,>=,1.2,m,for small-scale multi-unit dwelling type with 1 to 3 units,1.2 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0111,building_setback,interior_side_yard,>=,1.2,m,for small-scale multi-unit dwelling type with 1 to 2 units,1.2 m         1.2 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0112,building_setback,interior_side_yard,>=,1.2,m,for small-scale multi-unit dwelling type with 3 to 4 units,1.2 m         1.2 m          1.2 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0113,building_setback,interior_side_yard,>=,1.2,m,"for small-scale multi-unit dwelling type with 4 units only, located in a Frequent Transit Network Area",1.2 m         1.2 m          1.2 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0114,building_separation,front_principal_buildings,>=,2.4,m,"for small-scale multi-unit dwelling type with 1 to 3 units, on the same lot",Between Front Principals                     -              2.4 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0115,building_separation,front_principal_buildings,>=,2.4,m,"for small-scale multi-unit dwelling type with 1 to 2 units, on the same lot",Between Front Principals                     -              2.4 m         2.4 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0116,building_separation,front_principal_buildings,>=,2.4,m,"for small-scale multi-unit dwelling type with 3 to 4 units, on the same lot",Between Front Principals                     -              2.4 m         2.4 m          2.4 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0117,building_separation,front_principal_buildings,>=,2.4,m,"for small-scale multi-unit dwelling type with 4 units only, located in a Frequent Transit Network Area, on the same lot",Between Front Principals                     -              2.4 m         2.4 m          2.4 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0118,building_separation,rear_principal_buildings,>=,2.4,m,"for small-scale multi-unit dwelling type with 1 to 3 units, on the same lot",Between Rear Principals                      -              2.4 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0119,building_separation,rear_principal_buildings,>=,2.4,m,"for small-scale multi-unit dwelling type with 1 to 2 units, on the same lot",Between Rear Principals                      -              2.4 m         2.4 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0120,building_separation,rear_principal_buildings,>=,2.4,m,"for small-scale multi-unit dwelling type with 3 to 4 units, on the same lot",Between Rear Principals                      -              2.4 m         2.4 m          2.4 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0121,building_separation,rear_principal_buildings,>=,2.4,m,"for small-scale multi-unit dwelling type with 4 units only, located in a Frequent Transit Network Area, on the same lot",Between Rear Principals                      -              2.4 m         2.4 m          2.4 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0122,building_separation,front_and_rear_principal_buildings,>=,6.0,m,"for rowhouse dwelling type, on the same lot",Between Front & Rear Principals                                6.0 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0123,building_separation,all_other_buildings,>=,2.4,m,"for rowhouse dwelling type, on the same lot",Between All Other Buildings                                    2.4 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0124,building_separation,all_other_buildings,>=,2.4,m,"for small-scale multi-unit dwelling type, on the same lot",Between All Other Buildings                                    2.4 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0125,lot_area,lot,permitted,,,"for rowhouse dwellings, to exceed 280 m2, subject to registration of a Section 219 Covenant prohibiting the construction of more than 3 dwelling units on the lot",".1 Maximum lot area for rowhouse dwellings may exceed 280 m2, subject to registration of a Section 219 Covenant prohibiting the construction of more than 3 dwelling units on the lot."
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_003,pipeline5_merged_rule_0126,building_setback,interior_side_yard,>=,0,m,for rowhouse dwelling units on a lot line between two,.3 Interior side yard setbacks are not required for rowhouse dwelling units on a lot line between two
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_009__page_0004__local_001,pipeline5_merged_rule_0127,dwelling_unit_with_3_bedrooms,number_of_dwelling_units_with_3_bedrooms,>=,1,units,for lots with 1 to 3 total dwelling units,The minimum number of dwelling units with at least 3 bedrooms must be provided on a lot as follows: Total Dwelling Units on a Lot 1 to 3 Units Minimum 3+ Bedroom Units: 1 Unit
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_009__page_0004__local_001,pipeline5_merged_rule_0128,dwelling_unit_with_3_bedrooms,number_of_dwelling_units_with_3_bedrooms,>=,2,units,for lots with 4 to 6 total dwelling units,The minimum number of dwelling units with at least 3 bedrooms must be provided on a lot as follows: Total Dwelling Units on a Lot 4 to 6 Units Minimum 3+ Bedroom Units: 2 Units
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_009__page_0004__local_002,pipeline5_merged_rule_0129,dwelling_unit_main_entrance,orientation,required,,,at least one dwelling unit on a lot must have the main entrance oriented to an abutting street,At least one dwelling unit on a lot must have the main entrance oriented to an abutting street
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_009__page_0004__local_002,pipeline5_merged_rule_0130,dwelling_unit_main_entrance,orientation,required,,,"in the case of a through lot with multiple principal buildings and site access from both frontages, at least one dwelling unit per street frontage must have the main entrance oriented to an abutting street","in the case of a through lot with multiple principal buildings and site access from both frontages, at least one dwelling unit per street frontage"
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_009__page_0004__local_002,pipeline5_merged_rule_0131,pedestrian_walkway,provision,required,,,for contiguous rowhouse lots; walkway must be illuminated and publicly accessible,Contiguous rowhouse lots must provide an illuminated and publicly accessible pedestrian walkway
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_009__page_0004__local_002,pipeline5_merged_rule_0132,pedestrian_walkway_spacing,spacing_from_street_lane_or_intersecting_walkway,<=,100,m,for contiguous rowhouse lots,"pedestrian walkway spaced every 100 m or less from a street, lane, or walkway that intersects the fronting street"
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_009__page_0004__local_002,pipeline5_merged_rule_0133,pedestrian_walkway,linkage,required,,,"for contiguous rowhouse lots; walkway must link the fronting street with the parallel lane, street, or trail network at the rear of the lot","links the fronting street with the parallel lane, street, or trail network at the rear of the lot"
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_009__page_0004__local_002,pipeline5_merged_rule_0134,pedestrian_walkway_width,width,>=,1.5,m,for contiguous rowhouse lots,is at least 1.5 m wide
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_009__page_0004__local_002,pipeline5_merged_rule_0135,pedestrian_walkway_clearance,height_clearance,>=,2.5,m,for contiguous rowhouse lots,clear to a height of at least 2.5 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_009__page_0004__local_002,pipeline5_merged_rule_0136,pedestrian_walkway,statutory_right_of_way,required,,,for contiguous rowhouse lots; registered in favour of the City,is subject to a statutory right of way registered in favour of the City
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_009__page_0004__local_003,pipeline5_merged_rule_0137,development_regulations,compliance,required,,,for small-scale multi-unit lots with 1 to 3 units; regulations under Section 101.4,it meets the development regulations under Section 101.4 for small-scale multi-unit lots with 1 to 3 units
burnaby_duplicate_development_regulations_cross_reference,burnaby_generic_graph_pack_012__page_0005__local_001,pipeline5_merged_rule_0140,development_regulations,development,required,,,for 1 to 3 small-scale multi-unit dwelling units on a lot; under section 101.4,comply with the development regulations under section 101.4 for 1 to 3 small-scale multi-unit dwelling units on a lot;
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_002__page_0001__local_004,pipeline5_merged_rule_0141,permitted_use,Small-Scale Multi-Unit Housing,permitted,,,as a Principal Use,Principal Use                                 Use-Specific RegulationsSmall-Scale Multi-Unit Housing                           -
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_002__page_0001__local_004,pipeline5_merged_rule_0142,permitted_use,Rowhouse Dwellings,permitted,,,as a Principal Use; subject to Use-Specific Regulations in 101.5.2,Principal Use                                 Use-Specific RegulationsRowhouse Dwellings                            101.5.2
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_008__page_0002__local_004,pipeline5_merged_rule_0143,interior_side_yard_setback,end unit of a rowhouse development,>=,1.2,m,For an end unit of a rowhouse development,"For an end unit of a rowhouse development, the interior side yard setback is 1.2 m."
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_008__page_0002__local_004,pipeline5_merged_rule_0144,accessory_building,accessory buildings,prohibited,,,within the minimum separations between principal buildings,Accessory buildings are not permitted within the minimum separations between principal buildings – see Section 101.6.1 for permitted projections into minimum separations.
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_010__page_0004__local_004,pipeline5_merged_rule_0145,parking,parking,required,,,"for accessory buildings, structures, and uses associated with dwelling units; when accessible from an abutting lane or street; in an attached or detached garage, carport or outdoor parking pad at the rear of the lot","Parking shall be provided in an attached or detached garage, carport or outdoor parking pad at the rear of the lot when accessible from an abutting lane or street. Where there is no direct access to the rear of the lot or the Director Engineering is satisfied that access to the rear is not feasible because of an extreme grade, parking may be provided elsewhere on the lot."
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_010__page_0004__local_004,pipeline5_merged_rule_0146,garage_or_carport_extension_above_grade,part of garage or carport structure,<=,1.2,m,"for accessory buildings, structures, and uses associated with dwelling units; when a garage or carport is constructed below grade; at any point other than the driveway","A garage or carport may be constructed below grade, provided that no part of such structure shall extend more than 1.2 m above the surface of the surrounding ground at any point other than the driveway"
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_010__page_0004__local_004,pipeline5_merged_rule_0147,garage_or_carport_setback,part of garage or carport structure,>=,1.2,m,"for accessory buildings, structures, and uses associated with dwelling units; when a garage or carport is constructed below grade; from a lot line",nor be less than 1.2 m from a lot line.
