source_id,rule_key,rule_object,constraint_type,subject,operator,value,unit,condition,exception,evidence_text,warnings,source_stream,batch_id,rule_id,applies_to,applies_to_objects,scope_count,scope_mode,merged_rule_ids,merged_rule_count,dedup_status,review_reasons,review_required,merged_rule_id,rule_object_original,approval_type,unit_original
page_0195__table_001,parking_45_stall_depth,parking_stall_depth,minimum_dimension,stall depth perpendicular to aisle,>=,5.00,m,Parking angle: 45 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 45 | Stall depth perpendicular to aisle (metres): 5.00,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0014,"[{'rule_id': 'pipeline10_rule_0014', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'Parking angle: 45 degrees'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0014'],1,kept,[],False,pipeline5_merged_rule_0014,motor_vehicle_parking_stall,,
page_0195__table_001,parking_45_stall_width_dwelling,parking_stall_width,minimum_dimension,stall width parallel to aisle,>=,3.54,m,Parking angle: 45 degrees; Dwelling Units,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 45 | Stall width parallel to aisle (metres) | Dwelling Units: 3.54,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0015,"[{'rule_id': 'pipeline10_rule_0015', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'Parking angle: 45 degrees; Dwelling Units'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0015'],1,kept,[],False,pipeline5_merged_rule_0015,motor_vehicle_parking_stall,,
calgary_generic_graph_pack_050__page_0340__local_004,dwelling_unit_stacking_prohibited,dwelling_unit_stacking,prohibition,dwelling_unit,prohibited,,,located wholly or partially above another Dwelling Unit,,where no Dwelling Unit is located wholly or partially above another Dwelling Unit,[],gemini_text_batch,text_batch_0003,pipeline10_rule_0017,"[{'rule_id': 'pipeline10_rule_0017', 'rule_object': 'dwelling_unit_stacking', 'condition': 'located wholly or partially above another Dwelling Unit'}]",['dwelling_unit_stacking'],1,single_scope,['pipeline10_rule_0017'],1,kept,[],False,pipeline5_merged_rule_0017,,,
calgary_generic_graph_pack_050__page_0340__local_004,secondary_suite_permitted_within_dwelling_unit,permitted_use,permission,secondary_suite,permitted,,,within a Dwelling Unit in a district where a Secondary Suite is a listed use and conforms with the rules of the district,,may contain a Secondary Suite within a Dwelling Unit in a district where a Secondary Suite is a listed use and conforms with the rules of the district;,[],gemini_text_batch,text_batch_0003,pipeline10_rule_0018,"[{'rule_id': 'pipeline10_rule_0018', 'rule_object': 'permitted_use', 'condition': 'within a Dwelling Unit in a district where a Secondary Suite is a listed use and conforms with the rules of the district'}]",['permitted_use'],1,single_scope,['pipeline10_rule_0018'],1,kept,[],False,pipeline5_merged_rule_0018,,permitted,
calgary_generic_graph_pack_061__page_0384__local_004,skateboard_ramp_attachment_prohibited_backyard_suite,skateboard_and_sports_ramp_attachment,prohibition,Backyard Suite,prohibited,,,A skateboard and sports ramp,,"A skateboard and sports ramp must not be attached to a deck, another structure, fence, or building such as, but not limited to, a main residential building, Backyard Suite or Accessory Residential Building.",[],gemini_text_batch,text_batch_0004,pipeline10_rule_0019,"[{'rule_id': 'pipeline10_rule_0019', 'rule_object': 'skateboard_and_sports_ramp_attachment', 'condition': 'A skateboard and sports ramp'}]",['skateboard_and_sports_ramp_attachment'],1,single_scope,['pipeline10_rule_0019'],1,kept,[],False,pipeline5_merged_rule_0019,,,
calgary_generic_graph_pack_061__page_0384__local_004,skateboard_ramp_attachment_prohibited_accessory_residential_building,skateboard_and_sports_ramp_attachment,prohibition,Accessory Residential Building,prohibited,,,A skateboard and sports ramp,,"A skateboard and sports ramp must not be attached to a deck, another structure, fence, or building such as, but not limited to, a main residential building, Backyard Suite or Accessory Residential Building.",[],gemini_text_batch,text_batch_0004,pipeline10_rule_0020,"[{'rule_id': 'pipeline10_rule_0020', 'rule_object': 'skateboard_and_sports_ramp_attachment', 'condition': 'A skateboard and sports ramp'}]",['skateboard_and_sports_ramp_attachment'],1,single_scope,['pipeline10_rule_0020'],1,kept,[],False,pipeline5_merged_rule_0020,,,
calgary_generic_graph_pack_063__page_0386__local_004,accessory_residential_building_dwelling_unit_use_prohibition,Accessory Residential Building use,prohibition,Accessory Residential Building,prohibited,,,used as a Dwelling Unit,unless a Backyard Suite has been approved,"An Accessory Residential Building must not be used as a Dwelling Unit, unless a Backyard Suite has been approved.",[],gemini_text_batch,text_batch_0005,pipeline10_rule_0021,"[{'rule_id': 'pipeline10_rule_0021', 'rule_object': 'Accessory Residential Building use', 'condition': 'used as a Dwelling Unit'}]",['Accessory Residential Building use'],1,single_scope,['pipeline10_rule_0021'],1,kept,['exception_requires_atomic_review'],True,pipeline5_merged_rule_0021,,,
calgary_generic_graph_pack_064__page_0386__local_002,accessory_residential_building_front_setback_prohibition,Accessory Residential Building location,prohibition,Accessory Residential Building,prohibited,,,in the actual front setback area,,An Accessory Residential Building must not be located in the actual front setback area.,[],gemini_text_batch,text_batch_0005,pipeline10_rule_0022,"[{'rule_id': 'pipeline10_rule_0022', 'rule_object': 'Accessory Residential Building location', 'condition': 'in the actual front setback area'}]",['Accessory Residential Building location'],1,single_scope,['pipeline10_rule_0022'],1,kept,[],False,pipeline5_merged_rule_0022,,,
calgary_generic_graph_pack_064__page_0386__local_002,accessory_residential_building_main_residential_building_separation_distance,separation distance,minimum,distance between Accessory Residential Building and main residential building,>=,1.0,m,Accessory Residential Building 10.0 square metres or more,,The minimum distance between any façade of an Accessory Residential Building 10.0 square metres or more and a main residential building is 1.0 metres.,[],gemini_text_batch,text_batch_0005,pipeline10_rule_0024,"[{'rule_id': 'pipeline10_rule_0024', 'rule_object': 'separation distance', 'condition': 'Accessory Residential Building 10.0 square metres or more'}]",['separation distance'],1,single_scope,['pipeline10_rule_0024'],1,kept,[],False,pipeline5_merged_rule_0024,,,
calgary_generic_graph_pack_064__page_0386__local_003,accessory_residential_building_height_max_finished_floor,building_height,maximum,Accessory Residential Building,<=,4.6,m,measured from the finished floor of the building,,"The height of an Accessory Residential Building must not exceed: (a) 4.6 metres, measured from the finished floor of the building;",[],gemini_text_batch,text_batch_0005,pipeline10_rule_0025,"[{'rule_id': 'pipeline10_rule_0025', 'rule_object': 'Accessory Residential Building height', 'condition': 'measured from the finished floor of the building'}]",['Accessory Residential Building height'],1,single_scope,['pipeline10_rule_0025'],1,kept,[],False,pipeline5_merged_rule_0025,Accessory Residential Building height,,
calgary_generic_graph_pack_064__page_0386__local_003,accessory_residential_building_eaveline_height_max_finished_floor,Accessory Residential Building eaveline height,maximum,Accessory Residential Building eaveline,<=,3.0,m,measured from the finished floor of the building,,"The height of an Accessory Residential Building must not exceed: (b) 3.0 metres at any eaveline, when measured from the finished floor of the building;",[],gemini_text_batch,text_batch_0005,pipeline10_rule_0026,"[{'rule_id': 'pipeline10_rule_0026', 'rule_object': 'Accessory Residential Building eaveline height', 'condition': 'measured from the finished floor of the building'}]",['Accessory Residential Building eaveline height'],1,single_scope,['pipeline10_rule_0026'],1,kept,[],False,pipeline5_merged_rule_0026,,,
calgary_generic_graph_pack_064__page_0386__local_003,accessory_residential_building_height_max_storeys,building_height,maximum,Accessory Residential Building,<=,1,storeys,which may include an attic space,,The height of an Accessory Residential Building must not exceed: (c) one storey,[],gemini_text_batch,text_batch_0005,pipeline10_rule_0027,"[{'rule_id': 'pipeline10_rule_0027', 'rule_object': 'Accessory Residential Building height', 'condition': 'which may include an attic space'}]",['Accessory Residential Building height'],1,single_scope,['pipeline10_rule_0027'],1,kept,[],False,pipeline5_merged_rule_0027,Accessory Residential Building height,,
calgary_generic_graph_pack_064__page_0386__local_003,accessory_residential_building_attic_access_ladder_required,attic space access,required,attic space,required,,,within an Accessory Residential Building one storey in height,,is accessed by a removable ladder,[],gemini_text_batch,text_batch_0005,pipeline10_rule_0028,"[{'rule_id': 'pipeline10_rule_0028', 'rule_object': 'attic space access', 'condition': 'within an Accessory Residential Building one storey in height'}]",['attic space access'],1,single_scope,['pipeline10_rule_0028'],1,kept,[],False,pipeline5_merged_rule_0028,,,
calgary_generic_graph_pack_064__page_0386__local_003,accessory_residential_building_attic_windows_prohibited,attic space windows,prohibition,attic space,prohibited,,,within an Accessory Residential Building one storey in height,,does not have windows,[],gemini_text_batch,text_batch_0005,pipeline10_rule_0029,"[{'rule_id': 'pipeline10_rule_0029', 'rule_object': 'attic space windows', 'condition': 'within an Accessory Residential Building one storey in height'}]",['attic space windows'],1,single_scope,['pipeline10_rule_0029'],1,kept,[],False,pipeline5_merged_rule_0029,,,
calgary_generic_graph_pack_064__page_0386__local_003,accessory_residential_building_attic_use_storage_required,attic space use,required,attic space,required,,,"within an Accessory Residential Building one storey in height, used by the occupants of the main residential building for placement of personal items",,is used by the occupants of the main residential building for placement of personal items,[],gemini_text_batch,text_batch_0005,pipeline10_rule_0030,"[{'rule_id': 'pipeline10_rule_0030', 'rule_object': 'attic space use', 'condition': 'within an Accessory Residential Building one storey in height, used by the occupants of the main residential building for placement of personal items'}]",['attic space use'],1,single_scope,['pipeline10_rule_0030'],1,kept,[],False,pipeline5_merged_rule_0030,,,
calgary_generic_graph_pack_064__page_0386__local_003,accessory_residential_building_attic_height_max,attic space height,maximum,attic space,<=,1.5,m,"within an Accessory Residential Building one storey in height, measured from the attic floor to the underside of any rafter",,has a maximum height of 1.5 metres when measured from the attic floor to the underside of any rafter.,[],gemini_text_batch,text_batch_0005,pipeline10_rule_0031,"[{'rule_id': 'pipeline10_rule_0031', 'rule_object': 'attic space height', 'condition': 'within an Accessory Residential Building one storey in height, measured from the attic floor to the underside of any rafter'}]",['attic space height'],1,single_scope,['pipeline10_rule_0031'],1,kept,[],False,pipeline5_merged_rule_0031,,,
calgary_generic_graph_pack_079__page_0397__local_003,backyard_suite_balcony_setback,balcony_projection,dimensional,balcony attached to a Backyard Suite,>=,0.6,m,from a property line shared with a street or a lane,,A balcony attached to a Backyard Suite may project into a required setback area from a property line shared with a street or a lane to a minimum setback of 0.6 metres from the property line.,[],gemini_text_batch,text_batch_0007,pipeline10_rule_0032,"[{'rule_id': 'pipeline10_rule_0032', 'rule_object': 'balcony_projection', 'condition': 'from a property line shared with a street or a lane'}]",['balcony_projection'],1,single_scope,['pipeline10_rule_0032'],1,kept,[],False,pipeline5_merged_rule_0032,,,
calgary_generic_graph_pack_109__page_0420__local_004,main_residential_building_number_max_1_on_parcel,main_residential_building,density,number,<=,1,units,on a parcel,,The maximum number of main residential buildings on a parcel is one.,[],gemini_text_batch,text_batch_0008,pipeline10_rule_0034,"[{'rule_id': 'pipeline10_rule_0034', 'rule_object': 'main_residential_building', 'condition': 'on a parcel'}]",['main_residential_building'],1,single_scope,['pipeline10_rule_0034'],1,kept,[],False,pipeline5_merged_rule_0034,,,
calgary_generic_graph_pack_116__page_0429__local_005,parcel_width_min_9.0m_backyard_secondary_suite,parcel_width,dimensional,parcel_width,>=,9.0,m,for a parcel containing a Backyard Suite or Secondary Suite in a Contextual Single Detached Dwelling or Single Detached Dwelling,unless otherwise referenced in subsection (a.2),"9.0 metres for a parcel containing a Backyard Suite or Secondary Suite in a Contextual Single Detached Dwelling or Single Detached Dwelling, unless otherwise referenced in subsection (a.2);",[],gemini_text_batch,text_batch_0008,pipeline10_rule_0035,"[{'rule_id': 'pipeline10_rule_0035', 'rule_object': 'parcel_width', 'condition': 'for a parcel containing a Backyard Suite or Secondary Suite in a Contextual Single Detached Dwelling or Single Detached Dwelling'}]",['parcel_width'],1,single_scope,['pipeline10_rule_0035'],1,kept,['exception_requires_atomic_review'],True,pipeline5_merged_rule_0035,,,
calgary_generic_graph_pack_116__page_0429__local_005,parcel_width_min_7.5m_backyard_secondary_suite_3_parking_stalls,parcel_width,dimensional,parcel_width,>=,7.5,m,for a parcel containing a Backyard Suite or Secondary Suite in a Contextual Single Detached Dwelling or Single Detached Dwelling where 3.0 or more motor vehicle parking stalls are provided on the parcel,,7.5 metres for a parcel containing a Backyard Suite or Secondary Suite in a Contextual Single Detached Dwelling or Single Detached Dwelling where:,['Rule condition relies on text from a subsequent source_id (calgary_generic_graph_pack_116__page_0429__local_006) not fully contained in the evidence_text for this source_id.'],gemini_text_batch,text_batch_0008,pipeline10_rule_0036,"[{'rule_id': 'pipeline10_rule_0036', 'rule_object': 'parcel_width', 'condition': 'for a parcel containing a Backyard Suite or Secondary Suite in a Contextual Single Detached Dwelling or Single Detached Dwelling where 3.0 or more motor vehicle parking stalls are provided on the parcel'}]",['parcel_width'],1,single_scope,['pipeline10_rule_0036'],1,kept,"['incomplete_or_continuation_evidence', 'source_warning']",True,pipeline5_merged_rule_0036,,,
calgary_generic_graph_pack_117__page_0433__local_002,motor_vehicle_parking_stalls_min_2.0_per_dwelling_unit_parcel_width_lt_9m,parking_stalls,parking,number,>=,2.0,units,"for each Contextual Single Detached Dwelling and Single Detached Dwelling, per Dwelling Unit, where the parcel width is less than 9.0 metres and the parcel is part of a plan of subdivision approved after September 7, 1982",,"The minimum number of motor vehicle parking stalls for each Contextual Single Detached Dwelling and Single Detached Dwelling is 2.0 stalls per Dwelling Unit where: (a) the parcel width is less than 9.0 metres and the parcel is part of a plan of subdivision approved after September 7, 1982;",[],gemini_text_batch,text_batch_0008,pipeline10_rule_0038,"[{'rule_id': 'pipeline10_rule_0038', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'for each Contextual Single Detached Dwelling and Single Detached Dwelling, per Dwelling Unit, where the parcel width is less than 9.0 metres and the parcel is part of a plan of subdivision approved after September 7, 1982'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0038'],1,kept,[],False,pipeline5_merged_rule_0038,motor_vehicle_parking_stall,,stalls
calgary_generic_graph_pack_117__page_0433__local_002,motor_vehicle_parking_stalls_min_2.0_per_dwelling_unit_parcel_area_lt_270m2,parking_stalls,parking,number,>=,2.0,units,"for each Contextual Single Detached Dwelling and Single Detached Dwelling, per Dwelling Unit, where the area of the parcel is less than 270.0 square metres and the parcel is part of a plan of subdivision approved after",,The minimum number of motor vehicle parking stalls for each Contextual Single Detached Dwelling and Single Detached Dwelling is 2.0 stalls per Dwelling Unit where: (b) the area of the parcel is less than 270.0 square metres and the parcel is part of a plan of subdivision approved after,[],gemini_text_batch,text_batch_0008,pipeline10_rule_0039,"[{'rule_id': 'pipeline10_rule_0039', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'for each Contextual Single Detached Dwelling and Single Detached Dwelling, per Dwelling Unit, where the area of the parcel is less than 270.0 square metres and the parcel is part of a plan of subdivision approved after'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0039'],1,kept,['incomplete_or_continuation_evidence'],True,pipeline5_merged_rule_0039,motor_vehicle_parking_stall,,stalls
calgary_generic_graph_pack_117__page_0433__local_003,motor_vehicle_parking_stalls_secondary_suite_0.0_if_2.0_per_dwelling_unit,parking_stalls,parking,number,reduced to,0.0,units,"for a Secondary Suite contained in a Contextual Semi-detached Dwelling or Semi-detached Dwelling, where 2.0 motor vehicle parking stalls are provided for each Dwelling Unit",,"The minimum number of motor vehicle parking stalls for a Secondary Suite contained in a Contextual Semi-detached Dwelling or Semi-detached Dwelling is reduced to 0.0 stalls, where 2.0 motor vehicle parking stalls are provided for each Dwelling Unit.",[],gemini_text_batch,text_batch_0008,pipeline10_rule_0040,"[{'rule_id': 'pipeline10_rule_0040', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'for a Secondary Suite contained in a Contextual Semi-detached Dwelling or Semi-detached Dwelling, where 2.0 motor vehicle parking stalls are provided for each Dwelling Unit'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0040'],1,kept,[],False,pipeline5_merged_rule_0040,motor_vehicle_parking_stall,,stalls
calgary_generic_graph_pack_131__page_0442__local_005,parcel_width_min_9.0m_backyard_secondary_suite,parcel_width,dimensional_standard,parcel containing a Backyard Suite or Secondary Suite,>=,9.0,m,unless otherwise referenced in subsection (c),,"(b) 9.0 metres for a parcel containing a Backyard Suite or Secondary Suite, unless otherwise referenced in subsection (c);",[],gemini_text_batch,text_batch_0009,pipeline10_rule_0041,"[{'rule_id': 'pipeline10_rule_0041', 'rule_object': 'parcel_width', 'condition': 'unless otherwise referenced in subsection (c)'}]",['parcel_width'],1,single_scope,['pipeline10_rule_0041'],1,kept,[],False,pipeline5_merged_rule_0041,,,
calgary_generic_graph_pack_131__page_0442__local_005,parcel_width_min_7.5m_backyard_secondary_suite_where,parcel_width,dimensional_standard,parcel containing a Backyard Suite or Secondary Suite,>=,7.5,m,where,,(c) 7.5 metres for a parcel containing a Backyard Suite or Secondary Suite where:,[],gemini_text_batch,text_batch_0009,pipeline10_rule_0042,"[{'rule_id': 'pipeline10_rule_0042', 'rule_object': 'parcel_width', 'condition': 'where'}]",['parcel_width'],1,single_scope,['pipeline10_rule_0042'],1,kept,['incomplete_or_continuation_evidence'],True,pipeline5_merged_rule_0042,,,
calgary_generic_graph_pack_131__page_0442__local_006,parcel_width_max_11.6m_general,parcel_width,dimensional_standard,parcel,<=,11.6,m,"unless the parcel is: (a) a corner parcel; (b) a parcel on the bulb of a cul-de-sac; or (c) a parcel with a front property line shared with a street at a point where the street has a significant change in direction. (Inherited applicability: for parcels that may contain a Backyard Suite or Secondary Suite, as per section 464)",corner parcel; parcel on the bulb of a cul-de-sac; parcel with a front property line shared with a street at a point where the street has a significant change in direction,(2) The maximum parcel width is 11.6 metres unless the parcel is: (a) a corner parcel; (b) a parcel on the bulb of a cul-de-sac; or (c) a parcel with a front property line shared with a street at a point where the street has a significant change in direction.,[],gemini_text_batch,text_batch_0009,pipeline10_rule_0043,"[{'rule_id': 'pipeline10_rule_0043', 'rule_object': 'parcel_width', 'condition': 'unless the parcel is: (a) a corner parcel; (b) a parcel on the bulb of a cul-de-sac; or (c) a parcel with a front property line shared with a street at a point where the street has a significant change in direction. (Inherited applicability: for parcels that may contain a Backyard Suite or Secondary Suite, as per section 464)'}]",['parcel_width'],1,single_scope,['pipeline10_rule_0043'],1,kept,['exception_requires_atomic_review'],True,pipeline5_merged_rule_0043,,,
calgary_generic_graph_pack_136__page_0448__local_005,parcel_width_min_9.0m_backyard_secondary_suite_single_detached,parcel_width,dimensional_standard,parcel containing a Backyard Suite or Secondary Suite in a Single Detached Dwelling,>=,9.0,m,unless otherwise referenced in subsection (a.2),,"(a.1) 9.0 metres for a parcel containing a Backyard Suite or 76P2019 Secondary Suite in a Single Detached Dwelling, unless otherwise referenced in subsection (a.2);",[],gemini_text_batch,text_batch_0009,pipeline10_rule_0044,"[{'rule_id': 'pipeline10_rule_0044', 'rule_object': 'parcel_width', 'condition': 'unless otherwise referenced in subsection (a.2)'}]",['parcel_width'],1,single_scope,['pipeline10_rule_0044'],1,kept,[],False,pipeline5_merged_rule_0044,,,
calgary_generic_graph_pack_136__page_0448__local_005,parcel_width_min_7.5m_backyard_secondary_suite_single_detached_where,parcel_width,dimensional_standard,parcel containing a Backyard Suite or Secondary Suite in a Single Detached Dwelling,>=,7.5,m,where,,(a.2) 7.5 metres for a parcel containing a Backyard Suite or Secondary Suite in a Single Detached Dwelling where:,[],gemini_text_batch,text_batch_0009,pipeline10_rule_0045,"[{'rule_id': 'pipeline10_rule_0045', 'rule_object': 'parcel_width', 'condition': 'where'}]",['parcel_width'],1,single_scope,['pipeline10_rule_0045'],1,kept,['incomplete_or_continuation_evidence'],True,pipeline5_merged_rule_0045,,,
calgary_generic_graph_pack_137__page_0451__local_004,building_height_max_10.0m_single_detached_dwelling,building_height,dimensional_standard,Single Detached Dwelling,<=,10.0,m,Unless otherwise referenced in subsection (2). (Inherited applicability: for buildings that may contain or be associated with a Backyard Suite or Secondary Suite),,"(1) Unless otherwise referenced in subsection (2), the maximum building height is 10.0 metres for a Single Detached Dwelling.",[],gemini_text_batch,text_batch_0009,pipeline10_rule_0046,"[{'rule_id': 'pipeline10_rule_0046', 'rule_object': 'building_height', 'condition': 'Unless otherwise referenced in subsection (2). (Inherited applicability: for buildings that may contain or be associated with a Backyard Suite or Secondary Suite)'}]",['building_height'],1,single_scope,['pipeline10_rule_0046'],1,kept,[],False,pipeline5_merged_rule_0046,,,
